FST_REGN,FST_YEAR,FST_MM,FST_CNT
강원,2002,1,0
강원,2002,2,0
강원,2002,3,1
강원,2002,4,0
강원,2002,5,1
강원,2002,6,1
강원,2002,7,2
강원,2002,8,3
강원,2002,9,3
강원,2002,10,4
강원,2002,11,1
강원,2002,12,0
강원,2003,1,0
강원,2003,2,0
강원,2003,3,1
강원,2003,4,0
강원,2003,5,1
강원,2003,6,1
강원,2003,7,2
강원,2003,8,3
강원,2003,9,3
강원,2003,10,5
강원,2003,11,1
강원,2003,12,0
강원,2004,1,0
강원,2004,2,0
강원,2004,3,1
강원,2004,4,1
강원,2004,5,1
강원,2004,6,1
강원,2004,7,2
강원,2004,8,4
강원,2004,9,3
강원,2004,10,5
강원,2004,11,1
강원,2004,12,0
강원,2005,1,0
강원,2005,2,0
강원,2005,3,1
강원,2005,4,1
강원,2005,5,1
강원,2005,6,1
강원,2005,7,2
강원,2005,8,4
강원,2005,9,3
강원,2005,10,5
강원,2005,11,1
강원,2005,12,0
강원,2006,1,0
강원,2006,2,0
강원,2006,3,1
강원,2006,4,1
강원,2006,5,1
강원,2006,6,1
강원,2006,7,2
강원,2006,8,5
강원,2006,9,3
강원,2006,10,5
강원,2006,11,1
강원,2006,12,0
강원,2007,1,0
강원,2007,2,0
강원,2007,3,1
강원,2007,4,1
강원,2007,5,1
강원,2007,6,1
강원,2007,7,2
강원,2007,8,5
강원,2007,9,3
강원,2007,10,5
강원,2007,11,1
강원,2007,12,0
강원,2008,1,0
강원,2008,2,0
강원,2008,3,1
강원,2008,4,1
강원,2008,5,1
강원,2008,6,1
강원,2008,7,2
강원,2008,8,5
강원,2008,9,3
강원,2008,10,6
강원,2008,11,1
강원,2008,12,1
강원,2009,1,0
강원,2009,2,0
강원,2009,3,1
강원,2009,4,1
강원,2009,5,1
강원,2009,6,1
강원,2009,7,2
강원,2009,8,5
강원,2009,9,3
강원,2009,10,6
강원,2009,11,1
강원,2009,12,1
강원,2010,1,0
강원,2010,2,0
강원,2010,3,1
강원,2010,4,1
강원,2010,5,1
강원,2010,6,1
강원,2010,7,2
강원,2010,8,5
강원,2010,9,3
강원,2010,10,6
강원,2010,11,1
강원,2010,12,1
강원,2011,1,0
강원,2011,2,0
강원,2011,3,1
강원,2011,4,1
강원,2011,5,1
강원,2011,6,1
강원,2011,7,2
강원,2011,8,5
강원,2011,9,3
강원,2011,10,6
강원,2011,11,1
강원,2011,12,1
강원,2012,1,0
강원,2012,2,0
강원,2012,3,1
강원,2012,4,1
강원,2012,5,1
강원,2012,6,1
강원,2012,7,3
강원,2012,8,6
강원,2012,9,4
강원,2012,10,6
강원,2012,11,1
강원,2012,12,1
강원,2013,1,0
강원,2013,2,0
강원,2013,3,1
강원,2013,4,1
강원,2013,5,1
강원,2013,6,1
강원,2013,7,5
강원,2013,8,6
강원,2013,9,4
강원,2013,10,6
강원,2013,11,1
강원,2013,12,1
강원,2014,1,0
강원,2014,2,0
강원,2014,3,1
강원,2014,4,1
강원,2014,5,1
강원,2014,6,1
강원,2014,7,5
강원,2014,8,6
강원,2014,9,4
강원,2014,10,6
강원,2014,11,1
강원,2014,12,1
강원,2015,1,5
강원,2015,2,0
강원,2015,3,1
강원,2015,4,4
강원,2015,5,4
강원,2015,6,6
강원,2015,7,12
강원,2015,8,8
강원,2015,9,9
강원,2015,10,15
강원,2015,11,0
강원,2015,12,2
강원,2016,1,5
강원,2016,2,0
강원,2016,3,1
강원,2016,4,4
강원,2016,5,4
강원,2016,6,6
강원,2016,7,12
강원,2016,8,8
강원,2016,9,9
강원,2016,10,15
강원,2016,11,0
강원,2016,12,2
강원,2017,1,4
강원,2017,2,4
강원,2017,3,0
강원,2017,4,6
강원,2017,5,5
강원,2017,6,2
강원,2017,7,9
강원,2017,8,6
강원,2017,9,11
강원,2017,10,13
강원,2017,11,0
강원,2017,12,3
강원,2018,1,4
강원,2018,2,10
강원,2018,3,0
강원,2018,4,4
강원,2018,5,8
강원,2018,6,3
강원,2018,7,12
강원,2018,8,8
강원,2018,9,10
강원,2018,10,13
강원,2018,11,0
강원,2018,12,2
강원,2019,1,6
강원,2019,2,1
강원,2019,3,1
강원,2019,4,3
강원,2019,5,10
강원,2019,6,4
강원,2019,7,7
강원,2019,8,9
강원,2019,9,10
강원,2019,10,13
강원,2019,11,0
강원,2019,12,1
강원,2020,1,6
강원,2020,2,1
강원,2020,3,2
강원,2020,4,5
강원,2020,5,0
강원,2020,6,0
강원,2020,7,0
강원,2020,8,0
강원,2020,9,0
강원,2020,10,0
강원,2020,11,0
강원,2020,12,0
강원,2021,1,1
강원,2021,2,1
강원,2021,3,1
강원,2021,4,4
강원,2021,5,19
강원,2021,6,4
강원,2021,7,14
강원,2021,8,10
강원,2021,9,16
강원,2021,10,17
강원,2021,11,3
강원,2021,12,3
강원,2022,1,0
강원,2022,2,0
강원,2022,3,0
강원,2022,4,0
강원,2022,5,0
강원,2022,6,0
강원,2022,7,0
강원,2022,8,0
강원,2022,9,0
강원,2022,10,0
강원,2022,11,0
강원,2022,12,0
경기,2002,1,0
경기,2002,2,0
경기,2002,3,1
경기,2002,4,2
경기,2002,5,5
경기,2002,6,0
경기,2002,7,0
경기,2002,8,0
경기,2002,9,5
경기,2002,10,8
경기,2002,11,0
경기,2002,12,0
경기,2003,1,0
경기,2003,2,0
경기,2003,3,1
경기,2003,4,4
경기,2003,5,5
경기,2003,6,0
경기,2003,7,0
경기,2003,8,0
경기,2003,9,5
경기,2003,10,9
경기,2003,11,0
경기,2003,12,0
경기,2004,1,0
경기,2004,2,0
경기,2004,3,1
경기,2004,4,4
경기,2004,5,5
경기,2004,6,0
경기,2004,7,0
경기,2004,8,1
경기,2004,9,7
경기,2004,10,9
경기,2004,11,0
경기,2004,12,0
경기,2005,1,0
경기,2005,2,0
경기,2005,3,1
경기,2005,4,4
경기,2005,5,6
경기,2005,6,0
경기,2005,7,0
경기,2005,8,1
경기,2005,9,7
경기,2005,10,11
경기,2005,11,0
경기,2005,12,0
경기,2006,1,0
경기,2006,2,0
경기,2006,3,1
경기,2006,4,5
경기,2006,5,6
경기,2006,6,1
경기,2006,7,0
경기,2006,8,1
경기,2006,9,9
경기,2006,10,11
경기,2006,11,1
경기,2006,12,0
경기,2007,1,0
경기,2007,2,0
경기,2007,3,1
경기,2007,4,5
경기,2007,5,6
경기,2007,6,1
경기,2007,7,0
경기,2007,8,1
경기,2007,9,11
경기,2007,10,12
경기,2007,11,1
경기,2007,12,0
경기,2008,1,0
경기,2008,2,0
경기,2008,3,1
경기,2008,4,5
경기,2008,5,6
경기,2008,6,1
경기,2008,7,0
경기,2008,8,1
경기,2008,9,13
경기,2008,10,12
경기,2008,11,1
경기,2008,12,0
경기,2009,1,0
경기,2009,2,0
경기,2009,3,1
경기,2009,4,5
경기,2009,5,6
경기,2009,6,1
경기,2009,7,0
경기,2009,8,1
경기,2009,9,13
경기,2009,10,12
경기,2009,11,1
경기,2009,12,0
경기,2010,1,0
경기,2010,2,0
경기,2010,3,1
경기,2010,4,5
경기,2010,5,6
경기,2010,6,1
경기,2010,7,0
경기,2010,8,1
경기,2010,9,13
경기,2010,10,12
경기,2010,11,1
경기,2010,12,0
경기,2011,1,0
경기,2011,2,0
경기,2011,3,1
경기,2011,4,5
경기,2011,5,6
경기,2011,6,1
경기,2011,7,0
경기,2011,8,1
경기,2011,9,13
경기,2011,10,14
경기,2011,11,1
경기,2011,12,0
경기,2012,1,0
경기,2012,2,0
경기,2012,3,1
경기,2012,4,5
경기,2012,5,6
경기,2012,6,1
경기,2012,7,0
경기,2012,8,1
경기,2012,9,13
경기,2012,10,15
경기,2012,11,1
경기,2012,12,0
경기,2013,1,0
경기,2013,2,0
경기,2013,3,1
경기,2013,4,5
경기,2013,5,7
경기,2013,6,1
경기,2013,7,0
경기,2013,8,1
경기,2013,9,13
경기,2013,10,15
경기,2013,11,1
경기,2013,12,0
경기,2014,1,0
경기,2014,2,0
경기,2014,3,1
경기,2014,4,5
경기,2014,5,7
경기,2014,6,2
경기,2014,7,0
경기,2014,8,1
경기,2014,9,13
경기,2014,10,15
경기,2014,11,1
경기,2014,12,0
경기,2015,1,1
경기,2015,2,0
경기,2015,3,0
경기,2015,4,7
경기,2015,5,13
경기,2015,6,1
경기,2015,7,3
경기,2015,8,3
경기,2015,9,9
경기,2015,10,19
경기,2015,11,1
경기,2015,12,2
경기,2016,1,1
경기,2016,2,0
경기,2016,3,0
경기,2016,4,7
경기,2016,5,13
경기,2016,6,1
경기,2016,7,3
경기,2016,8,3
경기,2016,9,9
경기,2016,10,19
경기,2016,11,1
경기,2016,12,2
경기,2017,1,1
경기,2017,2,0
경기,2017,3,1
경기,2017,4,11
경기,2017,5,13
경기,2017,6,3
경기,2017,7,4
경기,2017,8,1
경기,2017,9,23
경기,2017,10,15
경기,2017,11,3
경기,2017,12,1
경기,2018,1,1
경기,2018,2,0
경기,2018,3,1
경기,2018,4,14
경기,2018,5,15
경기,2018,6,2
경기,2018,7,2
경기,2018,8,4
경기,2018,9,26
경기,2018,10,24
경기,2018,11,3
경기,2018,12,0
경기,2019,1,1
경기,2019,2,0
경기,2019,3,2
경기,2019,4,14
경기,2019,5,17
경기,2019,6,6
경기,2019,7,0
경기,2019,8,6
경기,2019,9,21
경기,2019,10,25
경기,2019,11,3
경기,2019,12,0
경기,2020,1,1
경기,2020,2,0
경기,2020,3,1
경기,2020,4,16
경기,2020,5,0
경기,2020,6,0
경기,2020,7,0
경기,2020,8,0
경기,2020,9,0
경기,2020,10,0
경기,2020,11,0
경기,2020,12,0
경기,2021,1,2
경기,2021,2,0
경기,2021,3,1
경기,2021,4,8
경기,2021,5,15
경기,2021,6,4
경기,2021,7,3
경기,2021,8,7
경기,2021,9,28
경기,2021,10,30
경기,2021,11,2
경기,2021,12,0
경기,2022,1,1
경기,2022,2,0
경기,2022,3,2
경기,2022,4,10
경기,2022,5,12
경기,2022,6,6
경기,2022,7,2
경기,2022,8,5
경기,2022,9,27
경기,2022,10,38
경기,2022,11,3
경기,2022,12,1
경남,2002,1,0
경남,2002,2,0
경남,2002,3,1
경남,2002,4,2
경남,2002,5,5
경남,2002,6,1
경남,2002,7,2
경남,2002,8,1
경남,2002,9,1
경남,2002,10,5
경남,2002,11,1
경남,2002,12,0
경남,2003,1,0
경남,2003,2,0
경남,2003,3,1
경남,2003,4,2
경남,2003,5,5
경남,2003,6,1
경남,2003,7,2
경남,2003,8,1
경남,2003,9,1
경남,2003,10,6
경남,2003,11,1
경남,2003,12,0
경남,2004,1,0
경남,2004,2,0
경남,2004,3,1
경남,2004,4,2
경남,2004,5,6
경남,2004,6,1
경남,2004,7,2
경남,2004,8,1
경남,2004,9,1
경남,2004,10,6
경남,2004,11,2
경남,2004,12,0
경남,2005,1,0
경남,2005,2,0
경남,2005,3,1
경남,2005,4,2
경남,2005,5,7
경남,2005,6,1
경남,2005,7,2
경남,2005,8,1
경남,2005,9,1
경남,2005,10,6
경남,2005,11,2
경남,2005,12,1
경남,2006,1,0
경남,2006,2,0
경남,2006,3,1
경남,2006,4,3
경남,2006,5,7
경남,2006,6,3
경남,2006,7,2
경남,2006,8,1
경남,2006,9,1
경남,2006,10,6
경남,2006,11,2
경남,2006,12,1
경남,2007,1,1
경남,2007,2,0
경남,2007,3,2
경남,2007,4,3
경남,2007,5,7
경남,2007,6,3
경남,2007,7,2
경남,2007,8,1
경남,2007,9,3
경남,2007,10,7
경남,2007,11,2
경남,2007,12,1
경남,2008,1,1
경남,2008,2,0
경남,2008,3,2
경남,2008,4,4
경남,2008,5,7
경남,2008,6,3
경남,2008,7,2
경남,2008,8,1
경남,2008,9,3
경남,2008,10,7
경남,2008,11,2
경남,2008,12,1
경남,2009,1,1
경남,2009,2,0
경남,2009,3,2
경남,2009,4,5
경남,2009,5,7
경남,2009,6,3
경남,2009,7,2
경남,2009,8,1
경남,2009,9,3
경남,2009,10,7
경남,2009,11,2
경남,2009,12,1
경남,2010,1,1
경남,2010,2,0
경남,2010,3,2
경남,2010,4,5
경남,2010,5,7
경남,2010,6,3
경남,2010,7,2
경남,2010,8,1
경남,2010,9,3
경남,2010,10,7
경남,2010,11,2
경남,2010,12,1
경남,2011,1,1
경남,2011,2,0
경남,2011,3,2
경남,2011,4,5
경남,2011,5,7
경남,2011,6,3
경남,2011,7,2
경남,2011,8,1
경남,2011,9,4
경남,2011,10,9
경남,2011,11,2
경남,2011,12,1
경남,2012,1,1
경남,2012,2,0
경남,2012,3,2
경남,2012,4,5
경남,2012,5,7
경남,2012,6,3
경남,2012,7,2
경남,2012,8,1
경남,2012,9,5
경남,2012,10,9
경남,2012,11,2
경남,2012,12,1
경남,2013,1,1
경남,2013,2,0
경남,2013,3,2
경남,2013,4,5
경남,2013,5,7
경남,2013,6,3
경남,2013,7,3
경남,2013,8,1
경남,2013,9,5
경남,2013,10,9
경남,2013,11,2
경남,2013,12,2
경남,2014,1,1
경남,2014,2,0
경남,2014,3,2
경남,2014,4,5
경남,2014,5,7
경남,2014,6,3
경남,2014,7,3
경남,2014,8,1
경남,2014,9,5
경남,2014,10,10
경남,2014,11,2
경남,2014,12,2
경남,2015,1,0
경남,2015,2,0
경남,2015,3,0
경남,2015,4,8
경남,2015,5,9
경남,2015,6,1
경남,2015,7,4
경남,2015,8,2
경남,2015,9,4
경남,2015,10,15
경남,2015,11,0
경남,2015,12,0
경남,2016,1,0
경남,2016,2,0
경남,2016,3,0
경남,2016,4,8
경남,2016,5,9
경남,2016,6,1
경남,2016,7,4
경남,2016,8,2
경남,2016,9,4
경남,2016,10,15
경남,2016,11,0
경남,2016,12,0
경남,2017,1,0
경남,2017,2,0
경남,2017,3,2
경남,2017,4,7
경남,2017,5,7
경남,2017,6,2
경남,2017,7,3
경남,2017,8,4
경남,2017,9,6
경남,2017,10,12
경남,2017,11,1
경남,2017,12,1
경남,2018,1,1
경남,2018,2,0
경남,2018,3,1
경남,2018,4,14
경남,2018,5,6
경남,2018,6,3
경남,2018,7,8
경남,2018,8,2
경남,2018,9,6
경남,2018,10,14
경남,2018,11,1
경남,2018,12,2
경남,2019,1,1
경남,2019,2,0
경남,2019,3,3
경남,2019,4,14
경남,2019,5,6
경남,2019,6,5
경남,2019,7,4
경남,2019,8,2
경남,2019,9,8
경남,2019,10,17
경남,2019,11,1
경남,2019,12,1
경남,2020,1,3
경남,2020,2,1
경남,2020,3,5
경남,2020,4,13
경남,2020,5,0
경남,2020,6,0
경남,2020,7,0
경남,2020,8,0
경남,2020,9,0
경남,2020,10,0
경남,2020,11,0
경남,2020,12,0
경남,2021,1,3
경남,2021,2,1
경남,2021,3,4
경남,2021,4,13
경남,2021,5,13
경남,2021,6,6
경남,2021,7,9
경남,2021,8,4
경남,2021,9,15
경남,2021,10,24
경남,2021,11,7
경남,2021,12,4
경남,2022,1,1
경남,2022,2,2
경남,2022,3,7
경남,2022,4,16
경남,2022,5,12
경남,2022,6,8
경남,2022,7,8
경남,2022,8,10
경남,2022,9,8
경남,2022,10,29
경남,2022,11,4
경남,2022,12,5
경북,2002,1,0
경북,2002,2,0
경북,2002,3,0
경북,2002,4,0
경북,2002,5,1
경북,2002,6,1
경북,2002,7,2
경북,2002,8,1
경북,2002,9,3
경북,2002,10,4
경북,2002,11,1
경북,2002,12,0
경북,2003,1,0
경북,2003,2,0
경북,2003,3,0
경북,2003,4,0
경북,2003,5,1
경북,2003,6,1
경북,2003,7,2
경북,2003,8,1
경북,2003,9,4
경북,2003,10,4
경북,2003,11,1
경북,2003,12,0
경북,2004,1,0
경북,2004,2,0
경북,2004,3,0
경북,2004,4,0
경북,2004,5,1
경북,2004,6,1
경북,2004,7,2
경북,2004,8,1
경북,2004,9,4
경북,2004,10,5
경북,2004,11,1
경북,2004,12,0
경북,2005,1,0
경북,2005,2,0
경북,2005,3,0
경북,2005,4,0
경북,2005,5,2
경북,2005,6,1
경북,2005,7,2
경북,2005,8,1
경북,2005,9,5
경북,2005,10,6
경북,2005,11,1
경북,2005,12,0
경북,2006,1,0
경북,2006,2,0
경북,2006,3,0
경북,2006,4,0
경북,2006,5,2
경북,2006,6,1
경북,2006,7,2
경북,2006,8,1
경북,2006,9,5
경북,2006,10,8
경북,2006,11,1
경북,2006,12,0
경북,2007,1,0
경북,2007,2,0
경북,2007,3,0
경북,2007,4,0
경북,2007,5,2
경북,2007,6,1
경북,2007,7,2
경북,2007,8,1
경북,2007,9,6
경북,2007,10,9
경북,2007,11,1
경북,2007,12,0
경북,2008,1,0
경북,2008,2,0
경북,2008,3,1
경북,2008,4,0
경북,2008,5,2
경북,2008,6,1
경북,2008,7,2
경북,2008,8,1
경북,2008,9,6
경북,2008,10,9
경북,2008,11,1
경북,2008,12,0
경북,2009,1,0
경북,2009,2,0
경북,2009,3,1
경북,2009,4,1
경북,2009,5,2
경북,2009,6,2
경북,2009,7,2
경북,2009,8,1
경북,2009,9,6
경북,2009,10,10
경북,2009,11,1
경북,2009,12,0
경북,2010,1,0
경북,2010,2,0
경북,2010,3,1
경북,2010,4,1
경북,2010,5,2
경북,2010,6,2
경북,2010,7,2
경북,2010,8,1
경북,2010,9,7
경북,2010,10,10
경북,2010,11,1
경북,2010,12,0
경북,2011,1,0
경북,2011,2,0
경북,2011,3,1
경북,2011,4,1
경북,2011,5,4
경북,2011,6,2
경북,2011,7,2
경북,2011,8,1
경북,2011,9,7
경북,2011,10,11
경북,2011,11,1
경북,2011,12,0
경북,2012,1,0
경북,2012,2,0
경북,2012,3,1
경북,2012,4,2
경북,2012,5,4
경북,2012,6,2
경북,2012,7,2
경북,2012,8,1
경북,2012,9,8
경북,2012,10,11
경북,2012,11,1
경북,2012,12,0
경북,2013,1,0
경북,2013,2,0
경북,2013,3,1
경북,2013,4,2
경북,2013,5,4
경북,2013,6,2
경북,2013,7,2
경북,2013,8,1
경북,2013,9,10
경북,2013,10,12
경북,2013,11,1
경북,2013,12,0
경북,2014,1,0
경북,2014,2,0
경북,2014,3,1
경북,2014,4,2
경북,2014,5,4
경북,2014,6,2
경북,2014,7,4
경북,2014,8,1
경북,2014,9,11
경북,2014,10,14
경북,2014,11,1
경북,2014,12,0
경북,2015,1,1
경북,2015,2,1
경북,2015,3,1
경북,2015,4,4
경북,2015,5,6
경북,2015,6,0
경북,2015,7,3
경북,2015,8,6
경북,2015,9,3
경북,2015,10,13
경북,2015,11,2
경북,2015,12,0
경북,2016,1,1
경북,2016,2,1
경북,2016,3,1
경북,2016,4,4
경북,2016,5,6
경북,2016,6,0
경북,2016,7,3
경북,2016,8,6
경북,2016,9,1
경북,2016,10,2
경북,2016,11,2
경북,2016,12,0
경북,2017,1,0
경북,2017,2,0
경북,2017,3,4
경북,2017,4,5
경북,2017,5,10
경북,2017,6,1
경북,2017,7,7
경북,2017,8,2
경북,2017,9,13
경북,2017,10,14
경북,2017,11,3
경북,2017,12,2
경북,2018,1,1
경북,2018,2,0
경북,2018,3,2
경북,2018,4,7
경북,2018,5,8
경북,2018,6,2
경북,2018,7,6
경북,2018,8,5
경북,2018,9,16
경북,2018,10,20
경북,2018,11,1
경북,2018,12,3
경북,2019,1,1
경북,2019,2,1
경북,2019,3,1
경북,2019,4,7
경북,2019,5,10
경북,2019,6,2
경북,2019,7,3
경북,2019,8,2
경북,2019,9,12
경북,2019,10,19
경북,2019,11,0
경북,2019,12,3
경북,2020,1,1
경북,2020,2,3
경북,2020,3,0
경북,2020,4,7
경북,2020,5,0
경북,2020,6,0
경북,2020,7,0
경북,2020,8,0
경북,2020,9,0
경북,2020,10,0
경북,2020,11,0
경북,2020,12,0
경북,2021,1,0
경북,2021,2,1
경북,2021,3,2
경북,2021,4,6
경북,2021,5,10
경북,2021,6,4
경북,2021,7,7
경북,2021,8,5
경북,2021,9,19
경북,2021,10,20
경북,2021,11,2
경북,2021,12,4
경북,2022,1,0
경북,2022,2,2
경북,2022,3,1
경북,2022,4,6
경북,2022,5,7
경북,2022,6,5
경북,2022,7,5
경북,2022,8,7
경북,2022,9,9
경북,2022,10,20
경북,2022,11,2
경북,2022,12,2
광주,2002,1,0
광주,2002,2,0
광주,2002,3,1
광주,2002,4,0
광주,2002,5,0
광주,2002,6,0
광주,2002,7,0
광주,2002,8,0
광주,2002,9,0
광주,2002,10,1
광주,2002,11,0
광주,2002,12,0
광주,2003,1,0
광주,2003,2,0
광주,2003,3,1
광주,2003,4,0
광주,2003,5,0
광주,2003,6,0
광주,2003,7,0
광주,2003,8,0
광주,2003,9,0
광주,2003,10,1
광주,2003,11,0
광주,2003,12,0
광주,2004,1,0
광주,2004,2,0
광주,2004,3,1
광주,2004,4,0
광주,2004,5,0
광주,2004,6,0
광주,2004,7,0
광주,2004,8,0
광주,2004,9,0
광주,2004,10,1
광주,2004,11,0
광주,2004,12,0
광주,2005,1,0
광주,2005,2,0
광주,2005,3,1
광주,2005,4,0
광주,2005,5,0
광주,2005,6,0
광주,2005,7,0
광주,2005,8,0
광주,2005,9,0
광주,2005,10,1
광주,2005,11,0
광주,2005,12,0
광주,2006,1,0
광주,2006,2,0
광주,2006,3,1
광주,2006,4,0
광주,2006,5,0
광주,2006,6,0
광주,2006,7,0
광주,2006,8,0
광주,2006,9,0
